C,MN,SI,S,CR,NI,MO,AL,TI,V,B,W,CO,H2,N,O2,Ladle_No.,Ladle_Life,LF Chamber Out Temp,Casting Temp,Liquidus Temp,Super-heat,Cast Time,Casting Speed,Defect
0.175,0.81,0.24,0.025,1.01,1.26,0.231,0.03,0.002,0.014,0.0003,0.004,0.021,1.42,68,12,4,26,1560,1560,1507,53,35,2.15,0
0.175,0.81,0.24,0.025,1.01,1.26,0.231,0.03,0.002,0.014,0.0003,0.004,0.021,1.42,68,12,4,26,1560,1560,1507,53,35,2.17,0
0.435,0.87,0.35,0.011,1.15,0.33,0.189,0.017,0.002,0.096,0.0001,0.001,0.007,1.4,50,0,2,17,1564,1546,1490,56,32,2.05,1
0.42,0.87,0.36,0.0111,1.15,0.32,0.194,0.016,0.002,0.083,0.0002,0.002,0.005,1.38,60,0,4,31,1542,1542,1490,52,35,2.14,1
0.436,0.78,0.29,0.001,0.14,0.09,0.045,0.024,0.003,0.025,0.0001,0.002,0.006,1.38,50,0,3,24,1556,1540,1494,46,30,2.21,1
0.436,0.78,0.29,0.001,0.14,0.09,0.045,0.024,0.003,0.025,0.0001,0.002,0.006,1.38,50,0,3,24,1556,1540,1494,46,30,2.15,1
0.424,0.86,0.35,0.0107,1.17,0.33,0.183,0.016,0.002,0.09,0.0002,0.002,0.008,1.48,57,0,6,10,1557,1541,1490,51,30,2.41,0
0.429,0.9,0.39,0.0096,1.17,0.31,0.194,0.014,0.003,0.081,0.0002,0.002,0.009,1.42,65,0,2,22,1561,1542,1490,52,32,2.38,1
0.406,0.72,0.25,0,0.8,1.76,0.222,0.031,0.002,0.006,0.0001,0.006,0.025,1.32,52,0,12,13,1537,1537,1488,49,30,2.28,0
0.406,0.72,0.25,0,0.8,1.76,0.222,0.031,0.002,0.006,0.0001,0.006,0.025,1.32,52,0,12,13,1537,1537,1488,49,30,2.43,0
0.41,0.87,0.37,0.0097,1.17,0.3,0.183,0.016,0.002,0.089,0.0002,0.002,0.008,1.47,71,0,4,2,1550,1550,1490,60,30,2.21,1
0.4,0.74,0.25,0.001,0.8,1.76,0.21,0.03,0.002,0.006,0.0001,0.005,0.024,1.32,43,0,2,4,1536,1536,1488,48,30,2.39,0
0.4,0.74,0.25,0.001,0.8,1.76,0.21,0.03,0.002,0.006,0.0001,0.005,0.024,1.32,43,0,2,4,1536,1536,1488,48,30,2.22,0
0.192,0.84,0.38,0.003,12.98,0.18,0.037,0.01,0,0.063,0.0003,0.01,0.026,1.52,345,0,9,10,1546,1546,1486,60,40,2.46,1
0.192,0.84,0.38,0.003,12.98,0.18,0.037,0.01,0,0.063,0.0003,0.01,0.026,1.52,345,0,9,10,1546,1546,1486,60,40,2.5,1
0.407,0.88,0.38,0.009,1.18,0.35,0.193,0.026,0.004,0.102,0.0002,0.001,0.009,1.38,55,0,5,14,1556,1546,1490,56,32,2.43,1
0.442,0.8,0.26,0.002,0.13,0.09,0.049,0.025,0.002,0.025,0.0001,0.001,0.005,1.36,45,0,7,27,1539,1539,1494,45,30,2.29,1
0.442,0.8,0.26,0.002,0.13,0.09,0.049,0.025,0.002,0.025,0.0001,0.001,0.005,1.36,45,0,7,27,1539,1539,1494,45,30,2.38,1
0.419,0.88,0.38,0.0086,1.19,0.31,0.184,0.016,0.005,0.09,0.0002,0.002,0.01,1.3,69,0,1,7,1544,1544,1490,54,30,2.36,1
0.415,0.85,0.31,0.001,1.03,0.06,0.238,0.028,0.003,0.005,0.0001,0.001,0.008,0.9,52,0,9,11,1566,1548,1492,56,39,4.83,1
0.415,0.85,0.31,0.001,1.03,0.06,0.238,0.028,0.003,0.005,0.0001,0.001,0.008,0.9,52,0,9,11,1566,1548,1492,56,39,4.83,1
0.412,0.86,0.38,0.0088,1.15,0.32,0.191,0.017,0.003,0.092,0.0002,0.001,0.009,1.37,66,0,6,30,1560,1546,1490,56,32,2.39,1
0.178,0.72,0.22,0.005,0.5,0.62,0.522,0.027,0.002,0.005,0.0001,0.003,0.013,1.4,65,0,12,24,1566,1566,1510,56,30,2.23,0
0.178,0.72,0.22,0.005,0.5,0.62,0.522,0.027,0.002,0.005,0.0001,0.003,0.013,1.4,65,0,12,24,1566,1566,1510,56,30,2.42,0
0.433,0.87,0.36,0.0118,1.16,0.34,0.182,0.022,0.003,0.087,0.0003,0.002,0.01,1.36,50,0,5,21,1555,1547,1490,57,29,2.31,1
0.341,0.74,0.25,0,1.02,0.21,0.221,0.025,0.002,0.007,0.0001,0.001,0.008,0.87,55,0,9,12,1599,1561,1499,62,39,5.73,1
0.341,0.74,0.25,0,1.02,0.21,0.221,0.025,0.002,0.007,0.0001,0.001,0.008,0.87,55,0,9,12,1599,1561,1499,62,39,5.73,1
0.413,0.73,0.22,0.001,0.81,1.69,0.261,0.036,0.002,0.013,0.0001,0.005,0.032,1.42,52,0,2,13,1539,1539,1488,51,30,2.12,0
0.413,0.73,0.22,0.001,0.81,1.69,0.261,0.036,0.002,0.013,0.0001,0.005,0.032,1.42,52,0,2,13,1539,1539,1488,51,30,2.36,0
0.425,0.87,0.39,0.0126,1.17,0.35,0.187,0.021,0.002,0.086,0.0003,0.002,0.009,1.43,55,0,5,18,1542,1542,1490,52,30,2.15,1
0.449,0.78,0.25,0.004,0.13,0.06,0.035,0.03,0.002,0.022,0.0001,0.001,0.005,1.36,50,0,7,29,1542,1542,1494,48,30,2.38,1
0.449,0.78,0.25,0.004,0.13,0.06,0.035,0.03,0.002,0.022,0.0001,0.001,0.005,1.36,50,0,7,29,1542,1542,1494,48,30,2.39,1
0.157,0.56,0.27,0,1.6,1.46,0.252,0.026,0.002,0.01,0.0001,0.004,0.023,1.42,62,0,3,7,1560,1560,1508,52,30,2.1,0
0.157,0.56,0.27,0,1.6,1.46,0.252,0.026,0.002,0.01,0.0001,0.004,0.023,1.42,62,0,3,7,1560,1560,1508,52,30,2.15,0
0.432,0.77,0.24,0.001,0.13,0.07,0.034,0.029,0.002,0.023,0.0001,0.001,0.005,1.33,54,0,4,25,1541,1541,1494,47,30,2.44,0
0.432,0.77,0.24,0.001,0.13,0.07,0.034,0.029,0.002,0.023,0.0001,0.001,0.005,1.33,54,0,4,25,1541,1541,1494,47,30,2.15,0
0.418,0.87,0.34,0.014,1.17,0.32,0.183,0.015,0.002,0.087,0.0002,0.002,0.009,1.42,54,0,5,24,1557,1545,1490,55,30,1.52,1
0.437,0.86,0.37,0.0104,1.16,0.39,0.18,0.022,0.002,0.086,0.0002,0.003,0.016,1.36,59,0,3,13,1560,1542,1490,52,31,2.33,0
0.171,0.61,0.35,0.001,1.49,3.36,0.197,0.016,0.002,0.005,0.0002,0.008,0.063,0.89,41,0,12,23,1576,1557,1500,57,35,2.23,0
0.171,0.61,0.35,0.001,1.49,3.36,0.197,0.016,0.002,0.005,0.0002,0.008,0.063,0.89,41,0,12,23,1576,1557,1500,57,35,2.42,0
0.43,0.89,0.4,0.009,1.17,0.32,0.174,0.019,0.002,0.088,0.0002,0.001,0.009,1.38,65,0,3,14,1551,1551,1490,61,30,2.17,1
0.426,0.81,0.22,0.001,0.12,0.06,0.032,0.022,0.002,0.024,0.0001,0.001,0.005,1.35,49,0,11,2,1540,1540,1494,46,35,2.5,1
0.426,0.81,0.22,0.001,0.12,0.06,0.032,0.022,0.002,0.024,0.0001,0.001,0.005,1.35,49,0,11,2,1540,1540,1494,46,35,2.5,1
0.438,1.22,0.3,0.015,0.16,0.12,0.052,0.021,0.007,0.01,0.0002,0.001,0.006,1.32,55,0,4,12,1540,1540,1490,50,30,2.15,0
0.438,1.22,0.3,0.015,0.16,0.12,0.052,0.021,0.007,0.01,0.0002,0.001,0.006,1.32,55,0,4,12,1540,1540,1490,50,30,2.12,0
0.415,0.87,0.33,0.006,1.16,0.34,0.186,0.018,0.002,0.09,0.0001,0.001,0.009,1.4,63,0,10,29,1568,1551,1501,50,30,2.2,1
