C,MN,SI,S,CR,NI,MO,AL,TI,V,B,W,CO,H2,N,O2,Ladle_No.,Ladle_Life,LF Chamber Out Temp,Casting Temp,Liquidus Temp,Super-heat,Cast Time,Casting Speed,Defect
0.418,0.79,0.25,0.007,0.13,0.1,0.042,0.022,0.001,0.022,0.0001,0.001,0.005,1.38,55,0,9,16,1540,1540,1494,46,30,2.38,1
0.424,0.79,0.24,0.001,0.13,0.09,0.04,0.023,0.001,0.023,0.0001,0.001,0.006,1.39,49,0,10,5,1541,1541,1494,47,30,2.35,1
0.424,0.79,0.24,0.001,0.13,0.09,0.04,0.023,0.001,0.023,0.0001,0.001,0.006,1.39,49,0,10,5,1541,1541,1494,47,30,2.45,1
0.483,1.06,0.25,0.011,0.33,0.07,0.067,0.024,0.001,0.047,0.0002,0,0.005,0.95,61,0,7,2,1554,1534,1488,46,35,4.66,1
0.483,1.06,0.25,0.011,0.33,0.07,0.067,0.024,0.001,0.047,0.0002,0,0.005,0.95,61,0,7,2,1554,1534,1488,46,35,4.66,1
0.467,1.11,0.25,0.011,0.3,0.2,0.068,0.025,0.001,0.045,0.0002,0.001,0.006,0.92,48,0,4,23,1552,1535,1488,47,36,4.68,1
0.467,1.11,0.25,0.011,0.3,0.2,0.068,0.025,0.001,0.045,0.0002,0.001,0.006,0.92,48,0,4,23,1552,1535,1488,47,36,4.68,1
0.42,0.78,0.26,0.001,0.17,0.12,0.035,0.026,0.001,0.022,0.0001,0.001,0.005,1.3,48,0,10,7,1539,1539,1490,49,30,2.32,1
0.42,0.78,0.26,0.001,0.17,0.12,0.035,0.026,0.001,0.022,0.0001,0.001,0.005,1.3,48,0,10,7,1539,1539,1490,49,30,2.47,1
0.42,0.72,0.17,0.018,0.23,0.07,0.028,0.025,0.01,0.004,0.0001,0.002,0.005,0.86,54,0,7,4,1560,1545,1494,51,36,4.75,1
0.42,0.72,0.17,0.018,0.23,0.07,0.028,0.025,0.01,0.004,0.0001,0.002,0.005,0.86,54,0,7,4,1560,1545,1494,51,36,4.75,1
0.425,0.74,0.28,0.02,0.24,0.05,0.027,0.025,0.01,0.005,0.0002,0.001,0.005,0.88,52,0,7,5,1557,1550,1494,56,39,4.66,1
0.425,0.74,0.28,0.02,0.24,0.05,0.027,0.025,0.01,0.005,0.0002,0.001,0.005,0.88,52,0,7,5,1561,1550,1494,56,39,4.66,1
0.195,0.53,0.35,0.004,12.67,0.13,0.026,0.02,0,0.022,0.0002,0.011,0.022,1.44,373,0,4,26,1552,1552,1487,65,52,2.29,1
0.195,0.53,0.35,0.004,12.67,0.13,0.026,0.02,0,0.022,0.0002,0.011,0.022,1.44,373,0,4,26,1552,1552,1487,65,52,2.18,1
0.141,0.53,0.1,0.001,2.38,0.09,1.087,0.039,0.002,0.289,0.0004,0.002,0.01,0.89,75,0,7,6,1586,1571,1513,58,38,5.73,1
0.141,0.53,0.1,0.001,2.38,0.09,1.087,0.039,0.002,0.289,0.0004,0.002,0.01,0.89,75,0,7,6,1586,1571,1513,58,38,5.73,1
0.42,0.77,0.26,0.001,0.12,0.07,0.027,0.029,0.002,0.025,0.0001,0.002,0.005,1.28,46,0,10,11,1539,1539,1494,45,30,2.28,1
0.42,0.77,0.26,0.001,0.12,0.07,0.027,0.029,0.002,0.025,0.0001,0.002,0.005,1.28,46,0,10,11,1539,1539,1494,45,30,2.34,1
0.387,0.75,0.26,0.001,1.17,0.08,0.273,0.021,0.002,0.005,0.0001,0.001,0.008,0.9,57,0,7,9,1574,1554,1493,61,44,4.92,1
0.387,0.75,0.26,0.001,1.17,0.08,0.273,0.021,0.002,0.005,0.0001,0.001,0.008,0.9,57,0,7,9,1574,1554,1493,61,44,4.92,1
0.319,0.33,0.11,0.002,1.42,3.02,0.548,0.016,0.002,0.117,0.0002,0.009,0.025,0.88,49,0,10,13,1565,1549,1491,58,35,4.92,1
0.319,0.33,0.11,0.002,1.42,3.02,0.548,0.016,0.002,0.117,0.0002,0.009,0.025,0.88,49,0,10,13,1565,1549,1491,58,35,4.92,1
0.305,0.32,0.11,0.002,1.42,2.99,0.546,0.013,0.002,0.112,0.0002,0.007,0.023,0.86,60,0,11,2,1556,1547,1491,56,17,4.98,1
0.305,0.32,0.11,0.002,1.42,2.99,0.546,0.013,0.002,0.112,0.0002,0.007,0.023,0.86,60,0,11,2,1556,1547,1491,56,17,4.98,1
0.441,0.79,0.23,0.004,0.12,0.08,0.035,0.033,0.001,0.024,0.0001,0.002,0.005,1.28,65,0,3,31,1540,1540,1494,46,30,2.36,1
0.441,0.79,0.23,0.004,0.12,0.08,0.035,0.033,0.001,0.024,0.0001,0.002,0.005,1.28,65,0,3,31,1540,1540,1494,46,30,2.43,1
0.309,0.34,0.12,0.002,1.46,3.02,0.551,0.019,0.002,0.118,0.0002,0.009,0.023,0.9,55,0,7,11,1568,1547,1491,56,35,5.02,1
0.309,0.34,0.12,0.002,1.46,3.02,0.551,0.019,0.002,0.118,0.0002,0.009,0.023,0.9,55,0,7,11,1568,1547,1491,56,35,5.02,1
0.388,0.95,0.28,0.018,1.11,0.05,0.186,0.024,0.002,0.005,0.0002,0.001,0.008,1.26,59,0,9,27,1548,1548,1493,55,30,2.16,1
0.388,0.95,0.28,0.018,1.11,0.05,0.186,0.024,0.002,0.005,0.0002,0.001,0.008,1.26,59,0,9,27,1548,1548,1493,55,30,2.47,1
0.438,0.8,0.24,0.001,0.14,0.08,0.037,0.029,0.002,0.023,0.0001,0.002,0.005,1.29,49,0,6,2,1537,1537,1494,43,30,2.4,1
0.438,0.8,0.24,0.001,0.14,0.08,0.037,0.029,0.002,0.023,0.0001,0.002,0.005,1.29,49,0,6,2,1537,1537,1494,43,30,2.48,1
0.162,0.82,0.24,0.034,1.04,1.28,0.23,0.033,0.002,0.006,0.0002,0.005,0.026,1.41,51,0,9,29,1576,1561,1507,54,30,1.56,1
0.162,0.82,0.24,0.034,1.04,1.28,0.23,0.033,0.002,0.006,0.0002,0.005,0.026,1.41,51,0,9,29,1576,1561,1507,54,30,1.56,1
0.415,0.78,0.27,0.002,1.16,0.09,0.278,0.024,0.002,0.005,0.0001,0.002,0.008,0.9,57,0,7,14,1570,1554,1493,61,42,5.34,1
0.415,0.78,0.27,0.002,1.16,0.09,0.278,0.024,0.002,0.005,0.0001,0.002,0.008,0.9,57,0,7,14,1570,1554,1493,61,42,5.34,1
0.323,0.33,0.1,0.003,1.47,3,0.543,0.019,0.002,0.112,0.0002,0.009,0.023,0.88,52,0,10,16,1565,1549,1491,58,35,4.93,1
0.323,0.33,0.1,0.003,1.47,3,0.543,0.019,0.002,0.112,0.0002,0.009,0.023,0.88,52,0,10,16,1565,1549,1491,58,35,4.93,1
0.326,0.31,0.1,0.002,1.41,3.03,0.54,0.013,0.001,0.114,0.0002,0.009,0.023,0.9,58,0,7,15,1568,1545,1491,54,44,5.09,1
0.326,0.31,0.1,0.002,1.41,3.03,0.54,0.013,0.001,0.114,0.0002,0.009,0.023,0.9,58,0,7,15,1568,1545,1491,54,44,5.09,1
0.432,0.8,0.23,0.001,0.14,0.11,0.035,0.022,0.001,0.03,0.0002,0.001,0.005,1.35,59,0,10,17,1539,1539,1494,45,30,2.5,1
0.432,0.8,0.23,0.001,0.14,0.11,0.035,0.022,0.001,0.03,0.0002,0.001,0.005,1.35,59,0,10,17,1539,1539,1494,45,30,2.3,1
0.313,0.33,0.09,0.002,1.45,3.07,0.546,0.017,0.002,0.114,0.0002,0.01,0.024,0.9,49,0,7,16,1564,1550,1491,59,35,5.15,1
0.313,0.33,0.09,0.002,1.45,3.07,0.546,0.017,0.002,0.114,0.0002,0.01,0.024,0.9,49,0,7,16,1564,1550,1491,59,35,5.15,1
0.316,0.33,0.1,0.002,1.44,3.07,0.546,0.018,0.002,0.114,0.0002,0.009,0.023,0.88,58,0,2,2,1569,1548,1491,57,36,4.77,1
0.316,0.33,0.1,0.002,1.44,3.07,0.546,0.018,0.002,0.114,0.0002,0.009,0.023,0.88,58,0,2,2,1569,1548,1491,57,36,4.77,1
0.308,0.61,0.29,0.001,2.44,0.11,0.198,0.017,0.003,0.126,0.0002,0.001,0.011,0.93,53,0,2,3,1575,1561,1500,61,10,2.18,1
0.308,0.61,0.29,0.001,2.44,0.11,0.198,0.017,0.003,0.126,0.0002,0.001,0.011,0.93,53,0,2,3,1575,1561,1500,61,10,2.28,1
0.35,0.65,0.24,0.001,1.02,3.18,0.645,0.013,0.002,0.202,0.0002,0.01,0.06,0.8,44,0,7,18,1570,1552,1486,66,39,5.25,1
0.35,0.65,0.24,0.001,1.02,3.18,0.645,0.013,0.002,0.202,0.0002,0.01,0.06,0.8,44,0,7,18,1570,1552,1486,66,39,5.25,1
0.313,0.32,0.14,0.001,1.41,3.03,0.55,0.013,0.002,0.114,0.0002,0.01,0.025,0.9,48,0,11,11,1562,1548,1491,57,35,4.76,1
0.313,0.32,0.14,0.001,1.41,3.03,0.55,0.013,0.002,0.114,0.0002,0.01,0.025,0.9,48,0,11,11,1562,1548,1491,57,35,4.76,1
0.407,0.9,0.29,0.002,1.03,0.21,0.214,0.03,0.003,0.008,0.0002,0.002,0.007,1.42,84,0,6,9,1547,1547,1493,54,30,2.29,1
0.407,0.9,0.29,0.002,1.03,0.21,0.214,0.03,0.003,0.008,0.0002,0.002,0.007,1.42,84,0,6,9,1547,1547,1493,54,30,2.32,1
0.307,0.3,0.09,0.003,1.44,3.02,0.546,0.009,0.002,0.116,0.0001,0.009,0.028,0.95,53,0,6,10,1564,1552,1491,61,35,4.82,1
0.307,0.3,0.09,0.003,1.44,3.02,0.546,0.009,0.002,0.116,0.0001,0.009,0.028,0.95,53,0,6,10,1564,1552,1491,61,35,4.82,1
0.305,0.32,0.13,0.001,1.41,3.04,0.545,0.015,0.002,0.12,0.0002,0.009,0.024,0.9,50,0,11,13,1567,1551,1491,60,35,4.97,1
0.305,0.32,0.13,0.001,1.41,3.04,0.545,0.015,0.002,0.12,0.0002,0.009,0.024,0.9,50,0,11,13,1567,1551,1491,60,35,4.97,1
0.306,0.64,0.23,0.002,2.42,0.11,0.202,0.021,0.002,0.131,0.0001,0.001,0.011,0.94,63,0,2,8,1577,1551,1500,51,41,5.32,1
0.306,0.64,0.23,0.002,2.42,0.11,0.202,0.021,0.002,0.131,0.0001,0.001,0.011,0.94,63,0,2,8,1577,1551,1500,51,41,5.32,1
0.319,0.33,0.11,0.002,1.43,3.02,0.552,0.014,0.002,0.116,0.0002,0.009,0.025,0.82,56,0,5,20,1542,1544,1491,53,36,4.81,1
0.319,0.33,0.11,0.002,1.43,3.02,0.552,0.014,0.002,0.116,0.0002,0.009,0.025,0.82,56,0,5,4,1585,1544,1491,53,36,4.81,1
0.416,0.87,0.37,0.01,1.15,0.35,0.182,0.017,0.002,0.087,0.0002,0.002,0.008,1.42,58,0,10,25,1539,1539,1490,49,30,2.42,1
0.416,0.87,0.37,0.01,1.15,0.35,0.182,0.017,0.002,0.087,0.0002,0.002,0.008,1.42,58,0,10,25,1539,1539,1490,49,30,2.47,1
0.13,0.53,0.07,0.002,2.41,0.11,1.065,0.028,0.001,0.306,0.0002,0.004,0.009,0.88,62,0,6,13,1597,1575,1513,62,35,5.27,1
0.13,0.53,0.07,0.002,2.41,0.11,1.065,0.028,0.001,0.306,0.0002,0.004,0.009,0.88,62,0,6,13,1597,1575,1513,62,35,5.27,1
0.419,0.91,0.35,0.022,1.05,0.21,0.154,0.017,0.002,0.006,0.0002,0.002,0.01,1.39,48,0,2,10,1571,1541,1494,47,34,2.22,1
0.419,0.91,0.35,0.022,1.05,0.21,0.154,0.017,0.002,0.006,0.0002,0.002,0.01,1.39,48,0,2,10,1571,1541,1494,47,34,2.42,1
0.121,0.5,0.12,0.001,2.36,0.2,1.052,0.028,0.001,0.004,0.0002,0.003,0.008,0.93,78,0,11,16,1570,1570,1514,56,30,2.41,1
0.121,0.5,0.12,0.001,2.36,0.2,1.052,0.028,0.001,0.004,0.0002,0.003,0.008,0.93,78,0,11,16,1570,1570,1514,56,30,2.3,1
0.458,1.13,0.24,0.02,0.12,0.09,0.045,0.025,0.009,0.004,0.0002,0.001,0.005,1.39,49,0,10,27,1531,1531,1491,40,45,2.43,1
0.458,1.13,0.24,0.02,0.12,0.09,0.045,0.025,0.009,0.004,0.0002,0.001,0.005,1.39,49,0,10,27,1531,1531,1491,40,45,2.42,1
0.3,0.6,0.23,0.001,2.42,0.15,0.207,0.019,0.002,0.126,0.0002,0,0.011,0.9,51,0,6,15,1573,1561,1500,61,42,5.37,1
0.3,0.6,0.23,0.001,2.42,0.15,0.207,0.019,0.002,0.126,0.0002,0,0.011,0.9,51,0,6,15,1573,1561,1500,61,42,5.37,1
0.395,0.77,0.27,0.002,1.15,0.13,0.277,0.03,0.004,0.007,0.0005,0.001,0.008,0.91,48,0,11,17,1554,1545,1493,52,38,4.89,1
0.395,0.77,0.27,0.002,1.15,0.13,0.277,0.03,0.004,0.007,0.0005,0.001,0.008,0.91,48,0,11,17,1554,1545,1493,52,38,4.89,1
0.151,0.54,0.28,0.001,0.94,3.48,0.228,0.024,0.002,0.007,0.0002,0.01,0.072,1.42,49,0,6,16,1569,1557,1500,57,30,2.38,1
0.151,0.54,0.28,0.001,0.94,3.48,0.228,0.024,0.002,0.007,0.0002,0.01,0.072,1.42,49,0,6,16,1569,1557,1500,57,30,2.35,1
0.393,0.77,0.24,0.001,1.15,0.06,0.28,0.018,0.002,0.005,0.0002,0.002,0.007,0.9,50,0,2,13,1559,1545,1493,52,40,4.82,1
0.393,0.77,0.24,0.001,1.15,0.06,0.28,0.018,0.002,0.005,0.0002,0.002,0.007,0.9,50,0,2,13,1559,1545,1493,52,40,4.82,1
0.395,0.75,0.26,0.003,1.16,0.09,0.275,0.024,0.002,0.005,0.0002,0.001,0.008,0.92,59,0,11,19,1554,1544,1493,51,30,5.6,1
0.395,0.75,0.26,0.003,1.16,0.09,0.275,0.024,0.002,0.005,0.0002,0.001,0.008,0.92,59,0,11,19,1554,1544,1493,51,30,5.6,1
0.396,0.77,0.28,0.001,1.15,0.14,0.279,0.022,0.002,0.008,0.0002,0.001,0.009,0.9,60,0,6,18,1566,1544,1493,51,29,6.09,1
0.396,0.77,0.28,0.001,1.15,0.14,0.279,0.022,0.002,0.008,0.0002,0.001,0.009,0.9,60,0,6,18,1566,1544,1493,51,29,6.09,1
0.439,1.12,0.21,0.022,0.13,0.06,0.034,0.024,0.009,0.016,0.0002,0,0.004,1.33,65,0,7,28,1542,1542,1491,51,40,2.19,1
0.439,1.12,0.21,0.022,0.13,0.06,0.034,0.024,0.009,0.016,0.0002,0,0.004,1.33,65,0,7,28,1542,1542,1491,51,40,2.13,1
0.401,0.74,0.24,0.001,1.15,0.12,0.272,0.02,0.002,0.008,0.0002,0.001,0.008,0.84,55,0,6,19,1558,1544,1493,51,35,5.82,1
0.401,0.74,0.24,0.001,1.15,0.12,0.272,0.02,0.002,0.008,0.0002,0.001,0.008,0.84,55,0,6,19,1558,1544,1493,51,35,5.82,1
0.3,0.61,0.24,0.001,2.44,0.11,0.208,0.02,0.002,0.121,0.0001,0,0.011,0.89,54,0,9,19,1590,1560,1499,61,38,5.63,1
0.3,0.61,0.24,0.001,2.44,0.11,0.208,0.02,0.002,0.121,0.0001,0,0.011,0.89,54,0,9,19,1590,1560,1499,61,38,5.63,1
0.095,0.32,0.31,0.005,8.65,0.12,1.01,0.015,0.001,0.23,0.0007,0.003,0.018,0.88,440,0,2,18,1571,1562,1501,61,38,5.43,1
0.095,0.32,0.31,0.005,8.65,0.12,1.01,0.015,0.001,0.23,0.0007,0.003,0.018,0.88,440,0,2,18,1571,1562,1501,61,38,5.43,1
0.32,0.31,0.1,0.003,1.41,3.01,0.545,0.013,0.002,0.112,0.0002,0.009,0.017,0.9,62,0,6,22,1570,1551,1491,60,33,5.01,1
0.32,0.31,0.1,0.003,1.41,3.01,0.545,0.013,0.002,0.112,0.0002,0.009,0.017,0.9,62,0,6,22,1570,1551,1491,60,33,5.01,1
0.313,0.32,0.13,0.001,1.45,3.02,0.55,0.015,0.002,0.121,0.0003,0.01,0.017,0.88,50,0,2,19,1565,1552,1491,61,33,4.84,1
0.313,0.32,0.13,0.001,1.45,3.02,0.55,0.015,0.002,0.121,0.0003,0.01,0.017,0.88,50,0,2,19,1565,1552,1491,61,33,4.84,1
0.325,0.63,0.23,0.002,2.42,0.23,0.211,0.025,0.003,0.135,0.0002,0.001,0.012,0.88,63,0,7,18,1575,1553,1500,53,41,5.3,1
0.325,0.63,0.23,0.002,2.42,0.23,0.211,0.025,0.003,0.135,0.0002,0.001,0.012,0.88,63,0,7,18,1575,1553,1500,53,41,5.3,1
0.418,0.87,0.36,0.014,1.17,0.32,0.185,0.014,0.006,0.078,0.0003,0.002,0.008,1.39,52,0,11,24,1539,1539,1490,49,25,2.28,1
0.418,0.87,0.36,0.014,1.17,0.32,0.185,0.014,0.006,0.078,0.0003,0.002,0.008,1.39,52,0,11,24,1539,1539,1490,49,25,2.1,1
0.302,0.63,0.32,0.006,2.42,0.07,0.215,0.022,0.002,0.131,0.0001,0.001,0.01,0.94,67,0,11,27,1575,1562,1500,62,38,5.46,1
0.302,0.63,0.32,0.006,2.42,0.07,0.215,0.022,0.002,0.131,0.0001,0.001,0.01,0.94,67,0,11,27,1575,1562,1500,62,38,5.46,1
0.32,0.33,0.1,0.002,1.44,3.03,0.55,0.019,0.001,0.115,0.0002,0.009,0.019,0.91,59,0,6,23,1566,1545,1491,54,35,5.09,1
0.32,0.33,0.1,0.002,1.44,3.03,0.55,0.019,0.001,0.115,0.0002,0.009,0.019,0.91,59,0,6,23,1566,1545,1491,54,35,5.09,1
0.306,0.63,0.29,0,2.45,0.18,0.212,0.023,0.002,0.127,0.0001,0,0.011,0.96,60,0,12,9,1557,1561,1500,61,34,5.52,1
0.306,0.63,0.29,0,2.45,0.18,0.212,0.023,0.002,0.127,0.0001,0,0.011,0.96,60,0,12,9,1561,1561,1500,61,34,5.52,1
0.48,0.43,1.14,0,5.05,0.19,1.293,0.014,0.007,0.479,0.0005,0.003,0.014,1.43,63,0,2,20,1536,1536,1475,61,25,2.22,1
0.48,0.43,1.14,0,5.05,0.19,1.293,0.014,0.007,0.479,0.0005,0.003,0.014,1.43,63,0,2,20,1536,1536,1475,61,25,2.31,1
0.32,0.64,0.24,0.001,2.45,0.07,0.205,0.02,0.002,0.128,0.0001,0,0.01,0.92,56,0,12,11,1572,1559,1500,59,39,5.69,1
0.32,0.64,0.24,0.001,2.45,0.07,0.205,0.02,0.002,0.128,0.0001,0,0.01,0.92,56,0,12,11,1572,1559,1500,59,39,5.69,1
0.322,0.64,0.24,0.001,2.45,0.1,0.209,0.024,0.002,0.14,0.0001,0.001,0.009,0.88,56,0,4,18,1574,1555,1500,55,33,5.66,1
0.322,0.64,0.24,0.001,2.45,0.1,0.209,0.024,0.002,0.14,0.0001,0.001,0.009,0.88,56,0,4,18,1574,1555,1500,55,33,5.66,1
0.318,0.33,0.1,0.001,1.46,3.04,0.554,0.014,0.002,0.113,0.0002,0.009,0.022,0.92,64,0,2,21,1566,1551,1491,60,35,5.17,1
0.318,0.33,0.1,0.001,1.46,3.04,0.554,0.014,0.002,0.113,0.0002,0.009,0.022,0.92,64,0,2,21,1566,1551,1491,60,35,5.17,1
0.302,0.63,0.25,0.003,2.46,0.15,0.218,0.025,0.002,0.129,0.0002,0.003,0.009,0.92,63,0,7,2,1575,1557,1500,57,42,5.46,1
0.32,0.59,0.28,0.006,2.43,0.1,0.201,0.019,0.002,0.132,0.0002,0.003,0.008,0.88,63,0,6,12,1576,1561,1500,61,41,5.39,1
0.4,0.81,0.24,0.003,1.01,0.21,0.205,0.01,0.002,0.006,0.0001,0.002,0.009,1.33,55,0,6,25,1544,1544,1494,50,30,2.18,1
0.4,0.81,0.24,0.003,1.01,0.21,0.205,0.01,0.002,0.006,0.0001,0.002,0.009,1.33,55,0,6,25,1544,1544,1494,50,30,2.25,1
0.315,0.61,0.27,0.003,2.51,0.16,0.21,0.019,0.002,0.136,0.0001,0.001,0.009,0.88,60,0,6,22,1572,1562,1500,62,40,5.55,1
0.627,0.77,1.71,0.003,0.46,0.08,0.031,0.016,0.006,0.005,0.0003,0.002,0.006,1.4,50,0,2,23,1505,1505,1466,39,40,2.27,1
0.627,0.77,1.71,0.003,0.46,0.08,0.031,0.016,0.006,0.005,0.0003,0.002,0.006,1.4,50,0,2,23,1505,1505,1466,39,40,2.22,1
0.304,0.62,0.27,0.001,2.43,0.08,0.209,0.021,0.003,0.133,0.0002,0.001,0.008,0.82,52,0,2,6,1572,1562,1500,62,35,5.63,1
0.308,0.32,0.12,0.002,1.42,3.01,0.564,0.01,0.002,0.125,0.0002,0.009,0.019,0.91,60,0,4,7,1564,1552,1491,61,35,4.81,1
0.308,0.32,0.12,0.002,1.42,3.01,0.564,0.01,0.002,0.125,0.0002,0.009,0.019,0.91,60,0,4,7,1564,1552,1491,61,35,4.81,1
0.309,0.68,0.25,0.004,2.41,0.12,0.204,0.017,0.002,0.13,0.0001,0.001,0.009,0.94,57,0,3,17,1576,1560,1500,60,41,5.28,1
0.16,0.83,0.26,0.022,1.02,1.28,0.233,0.026,0.002,0.007,0.0002,0.004,0.023,1.45,62,0,11,28,1581,1562,1507,55,29,2.11,1
0.16,0.83,0.26,0.022,1.02,1.28,0.233,0.026,0.002,0.007,0.0002,0.004,0.023,1.45,62,0,11,28,1581,1562,1507,55,29,2.45,1
0.31,0.62,0.24,0,2.44,0.17,0.201,0.02,0.003,0.129,0.0002,0.001,0.009,0.86,64,0,6,15,1570,1560,1499,61,42,5.22,1
0.405,0.82,0.24,0,1.04,0.23,0.209,0.008,0.002,0.004,0.0002,0.001,0.007,1.36,60,0,11,29,1544,1544,1494,50,30,2.36,1
0.405,0.82,0.24,0,1.04,0.23,0.209,0.008,0.002,0.004,0.0002,0.001,0.007,1.36,60,0,11,29,1544,1544,1494,50,30,2.45,1
0.299,0.65,0.22,0.004,2.48,0.13,0.214,0.021,0.002,0.127,0.0001,0,0.008,0.86,68,0,7,16,1570,1560,1501,59,41,5.57,1
0.315,0.31,0.12,0.001,1.46,3.05,0.542,0.008,0.002,0.112,0.0002,0.009,0.021,0.9,48,0,4,8,1556,1548,1491,57,35,4.81,1
0.315,0.31,0.12,0.001,1.46,3.05,0.542,0.008,0.002,0.112,0.0002,0.009,0.021,0.9,48,0,4,8,1556,1548,1491,57,35,4.81,1
0.301,0.63,0.23,0.001,2.43,0.1,0.217,0.025,0.002,0.134,0.0001,0.001,0.007,0.94,59,0,5,23,1576,1559,1500,59,40,5.45,1
0.34,0.3,0.14,0.001,1.52,3,0.544,0.019,0.002,0.125,0.0002,0.009,0.022,0.9,46,0,5,11,1564,1550,1491,59,33,5.01,1
0.34,0.3,0.14,0.001,1.52,3,0.544,0.019,0.002,0.125,0.0002,0.009,0.022,0.9,46,0,5,11,1564,1550,1491,59,33,5.01,1
0.314,0.31,0.14,0.001,1.41,3.05,0.542,0.012,0.002,0.111,0.0002,0.011,0.024,0.94,48,0,4,9,1568,1552,1491,61,35,4.73,1
0.314,0.31,0.14,0.001,1.41,3.05,0.542,0.012,0.002,0.111,0.0002,0.011,0.024,0.94,48,0,4,9,1568,1552,1491,61,35,4.73,1
0.318,0.64,0.27,0.005,2.45,0.07,0.21,0.023,0.002,0.149,0.0001,0,0.006,0.87,66,0,11,3,1572,1558,1501,57,40,5.33,1
0.39,0.92,0.31,0.019,1.02,0.22,0.161,0.021,0.003,0.007,0.0002,0.002,0.008,1.42,55,0,5,12,1559,1544,1494,50,29,2.37,1
0.39,0.92,0.31,0.019,1.02,0.22,0.161,0.021,0.003,0.007,0.0002,0.002,0.008,1.42,55,0,5,12,1559,1544,1494,50,29,2.32,1
0.308,0.61,0.23,0.0023,2.41,0.2,0.2,0.021,0.002,0.134,0.0001,0.001,0.009,0.89,58,0,1,19,1550,1551,1501,50,35,2.14,1
0.377,0.92,0.29,0.016,1.03,0.09,0.152,0.016,0.002,0.004,0.0002,0.001,0.008,1.4,82,0,2,26,1540,1510,1467,43,35,2.24,1
0.377,0.92,0.29,0.016,1.03,0.09,0.152,0.016,0.002,0.004,0.0002,0.001,0.008,1.4,82,0,2,26,1585,1545,1510,35,35,2.29,1
0.31,0.61,0.22,0.0022,2.43,0.18,0.218,0.022,0.002,0.136,0.0001,0.001,0.01,0.88,50,0,11,19,1575,1562,1501,61,42,5.29,1
0.316,0.32,0.12,0,1.41,3.02,0.546,0.016,0.002,0.113,0.0002,0.009,0.024,0.88,55,0,4,10,1563,1547,1491,56,35,4.95,1
0.316,0.32,0.12,0,1.41,3.02,0.546,0.016,0.002,0.113,0.0002,0.009,0.024,0.88,55,0,4,10,1563,1547,1491,56,35,4.95,1
0.321,0.33,0.15,0.001,1.43,3.06,0.542,0.015,0.002,0.106,0.0002,0.01,0.024,0.92,63,0,5,13,1568,1552,1491,61,34,4.89,1
0.321,0.33,0.15,0.001,1.43,3.06,0.542,0.015,0.002,0.106,0.0002,0.01,0.024,0.92,63,0,5,13,1568,1552,1491,61,34,4.89,1
0.302,0.63,0.23,0.0008,2.46,0.1,0.203,0.021,0.002,0.127,0.0001,0,0.007,0.92,49,0,3,4,1578,1556,1501,55,40,5.25,1
0.328,1.06,0.31,0.006,1.05,2.03,0.386,0.022,0.002,0.033,0.0002,0.006,0.043,1.46,73,0,6,30,1545,1545,1489,56,30,2.38,1
0.328,1.06,0.31,0.006,1.05,2.03,0.386,0.022,0.002,0.033,0.0002,0.006,0.043,1.46,73,0,6,30,1545,1545,1489,56,30,2.44,1
0.31,0.65,0.28,0.0012,2.43,0.1,0.203,0.018,0.002,0.124,0.0002,0.001,0.008,0.88,61,0,12,20,1577,1557,1501,56,42,5.05,1
0.15,0.52,0.27,0.005,0.99,3.45,0.235,0.031,0.002,0.009,0.0002,0.009,0.068,1.42,60,0,5,14,1540,1510,1467,43,35,2.45,1
0.15,0.52,0.27,0.005,0.99,3.45,0.235,0.031,0.002,0.009,0.0002,0.009,0.068,1.42,60,0,5,14,1585,1545,1510,35,35,2.1,1
0.305,0.64,0.21,0.0017,2.42,0.18,0.204,0.023,0.002,0.142,0.0002,0.002,0.009,0.89,62,0,5,4,1573,1560,1500,60,41,5.62,1
0.309,0.32,0.14,0.001,1.45,3.01,0.554,0.018,0.002,0.124,0.0002,0.01,0.025,0.86,52,0,12,3,1561,1545,1491,54,35,4.82,1
0.309,0.32,0.14,0.001,1.45,3.01,0.554,0.018,0.002,0.124,0.0002,0.01,0.025,0.86,52,0,12,3,1561,1545,1491,54,35,4.82,1
0.307,0.6,0.23,0.0073,2.42,0.05,0.205,0.018,0.002,0.134,0.0001,0,0.007,0.97,90,0,1,5,1574,1557,1500,57,42,5.22,1
0.295,0.63,0.23,0.0058,2.45,0.21,0.204,0.022,0.003,0.127,0.0002,0.001,0.009,0.96,71,0,1,9,1575,1561,1500,61,40,5.258,1
0.298,0.31,0.13,0.001,1.44,3.02,0.556,0.015,0.002,0.121,0.0001,0.008,0.02,0.86,52,0,5,15,1563,1550,1491,59,36,4.95,1
0.298,0.31,0.13,0.001,1.44,3.02,0.556,0.015,0.002,0.121,0.0001,0.008,0.02,0.86,52,0,5,15,1563,1550,1491,59,36,4.95,1
0.317,0.61,0.25,0.0092,2.48,0.08,0.213,0.022,0.002,0.136,0.0002,0,0.007,0.94,71,0,4,4,1571,1560,1501,59,50,5.14,1
0.402,1.06,0.3,0.012,1.15,0.09,0.187,0.022,0.002,0.009,0.0002,0.001,0.007,1.38,79,0,3,3,1541,1542,1491,51,35,2.19,1
0.402,1.06,0.3,0.012,1.15,0.09,0.187,0.022,0.002,0.009,0.0002,0.001,0.007,1.38,79,0,3,3,1541,1542,1491,51,35,2.47,1
